,hotel_id,lat_lng,address
0,1614401,"(34.04703903198242, -118.26425170898438)","865 S Figueroa St, Los Angeles, CA 90015, USA"
1,75636,"(33.94720458984375, -118.34798431396484)","525 E 99th St, Inglewood, CA 90301, USA"
2,147290,"(33.9587020874023, -118.418930053711)","8639 Lincoln Blvd, Los Angeles, CA 90045, USA"
3,523468,"(33.77234649658203, -118.26199340820312)","239 N Avalon Blvd, Wilmington, CA 90744, USA"
4,272130,"(34.10660171508789, -118.33799743652344)","2005 N Highland Ave, Los Angeles, CA 90068, USA"
5,686905,"(33.894134521484375, -118.36699676513672)","2410 Marine Ave, Redondo Beach, CA 90278, USA"
6,410464,"(33.94511413574219, -118.34871673583984)","4200 W Century Blvd, Inglewood, CA 90304, USA"
7,446753,"(33.85493087768555, -117.90497589111328)","1514 Raymond Ave, Fullerton, CA 92831, USA"
8,568862,"(33.841651916503906, -118.30961608886719)","Western Ave & 208th St, Torrance, CA 90501, USA"
9,83601,"(33.92775, -118.396767)","1804 E Sycamore Ave, El Segundo, CA 90245, USA"
10,167499,"(33.897335052490234, -118.35233306884766)","14808 Hawthorne Blvd, Lawndale, CA 90260, USA"
11,360413,"(33.92618179321289, -118.37837219238281)","11834 Aviation Blvd, Inglewood, CA 90304, USA"
12,212279,"(33.94540023803711, -118.36035919189453)","4736 W Century Blvd, Inglewood, CA 90304, USA"
13,553491,"(34.1005826953901, -118.332372307777)","1624 Schrader Blvd, Los Angeles, CA 90028, USA"
14,46466,"(33.752891540527344, -118.19031524658203)","1101-1157 Queens Hwy, Long Beach, CA 90802, USA"
15,6950749,"(33.8035697937, -118.0080871582)","7161 Katella Ave, Stanton, CA 90680, USA"
16,64583,"(33.84104919433594, -118.26026916503906)","20770 S Avalon Blvd, Carson, CA 90746, USA"
17,184496,"(33.9456901550293, -118.3489761352539)","4217 W Century Blvd, Inglewood, CA 90304, USA"
18,169557,"(34.051273345947266, -118.2650375366211)","1123 7th St, Los Angeles, CA 90017, USA"
19,735242,"(34.0963306, -118.0728998)","5318 CA-19, San Gabriel, CA 91776, USA"
20,2455552,"(33.84012985229492, -117.99874114990234)","7675 Crescent Ave, Buena Park, CA 90620, USA"
21,2390,"(33.945735931396484, -118.38725280761719)","5937 Century Blvd, Los Angeles, CA 90045, USA"
22,350787,"(33.933284759521484, -118.34487915039062)","11163 Prairie Ave, Inglewood, CA 90303, USA"
23,2466766,"(33.95035171508789, -118.16536712646484)","8821 Garfield Ave, South Gate, CA 90280, USA"
24,6947368,"(33.85834799999999, -118.01002399999999)","7032 Orangethorpe Ave, Buena Park, CA 90621, USA"
25,2186134,"(33.773380279541016, -117.95800018310547)","10022 Garden Grove Blvd, Garden Grove, CA 92844, USA"
26,206775,"(34.098506927490234, -118.30834197998047)","5435 Sunset Blvd, Los Angeles, CA 90027, USA"
27,2488,"(33.94572830200195, -118.3949966430664)","6225 W Century Blvd, Los Angeles, CA 90045, USA"
28,147300,"(34.04692840576172, -118.26074981689453)","821 Flower St, Los Angeles, CA 90017, USA"
29,46453,"(33.94483947753906, -118.3740234375)","5400 W Century Blvd, Los Angeles, CA 90045, USA"
30,4750630,"(33.874991, -118.220414)","123 E Artesia Blvd, Compton, CA 90220, USA"
31,2456883,"(33.808002, -118.028292)","10620 Valley View St, Cypress, CA 90630, USA"
32,6405058,"(34.1028566, -118.3343691)","1746 N Cherokee Ave, Hollywood, CA 90028, USA"
33,6950744,"(33.9872016907, -118.4731826782)","23 Windward Ave, Venice, CA 90291, USA"
34,93746,"(34.10163116455078, -118.30774688720703)","5420 Hollywood Blvd, Los Angeles, CA 90027, USA"
35,1459573,"(34.07888984996393, -118.30331934839091)","442n N Kingsley Dr, Los Angeles, CA 90004, USA"
36,6947432,"(34.3025519, -118.47769260000001)","12835 Encinitas Ave, Sylmar, CA 91342, USA"
37,2458651,"(33.805381, -117.909934)","Clementine Hotel & Suites Anaheim, Anaheim, CA 92802, USA"
38,7788,"(33.94612503051758, -118.3887710571289)","5985 W Century Blvd, Los Angeles, CA 90045, USA"
39,2452040,"(34.157470703125, -118.4072494506836)","12600 Riverside Dr, North Hollywood, CA 91607, USA"
40,44144,"(34.049903869628906, -118.25402069091797)","500 S Grand Ave, Los Angeles, CA 90014, USA"
41,376953,"(34.10150909423828, -118.34569549560547)","7110 Hollywood Blvd, Los Angeles, CA 90046, USA"
42,365899,"(33.945127, -118.350468)","4300 W Century Blvd, Inglewood, CA 90304, USA"
43,10914070,"(33.8174209594727, -117.92431640625)","1211 Southwest Pl, Anaheim, CA 92802, USA"
44,1102810,"(34.101619720458984, -118.31433868408203)","5734 Hollywood Blvd, Los Angeles, CA 90028, USA"
45,2459602,"(33.923538, -118.395961)","Mariposa / Pacific Coast Highway, El Segundo, CA 90245, USA"
46,43984,"(34.092864990234375, -118.29156494140625)","1160 N Vermont Ave, Los Angeles, CA 90029, USA"
47,108625,"(33.89531326293945, -118.35175323486328)","15000 Hawthorne Blvd, Lawndale, CA 90260, USA"
48,566946,"(34.0533332824707, -118.31241607666016)","979 Gramercy Dr, Los Angeles, CA 90019, USA"
49,6104521,"(34.04777145385742, -118.24703216552734)","104 E 4th St, Los Angeles, CA 90013, USA"
50,176126,"(34.1002578735352, -118.309501647949)","1615 N Western Ave, Los Angeles, CA 90027, USA"
51,93796,"(34.06136703491211, -118.31141662597656)","3900 Wilshire Blvd, Los Angeles, CA 90010, USA"
52,2277499,"(33.8035494030508, -117.912691757083)","421 W Katella Ave, Anaheim, CA 92802, USA"
53,5056604,"(34.04000381963111, -118.30034673213959)","Washington / Normandie, Los Angeles, CA, USA"
54,2459570,"(33.94562, -118.37272)","5301 W Century Blvd, Los Angeles, CA 90045, USA"
55,7481481,"(34.062381744384766, -118.24530792236328)","841 W Cesar Estrada Chavez Ave, Los Angeles, CA 90012, USA"
56,101108,"(33.951992, -118.38533)","9250 Airport Blvd, Los Angeles, CA 90045, USA"
57,81274,"(34.0805778503418, -118.10215759277344)","225 Valley Blvd, San Gabriel, CA 91776, USA"
58,46433,"(33.94779586791992, -118.38575744628906)","9750 Airport Blvd, Los Angeles, CA 90045, USA"
59,485352,"(34.06065368652344, -118.2729263305664)","401 S Westlake Ave, Los Angeles, CA 90057, USA"
60,75667,"(34.0671119689941, -118.270095825195)","106 N Alvarado St, Los Angeles, CA 90026, USA"
61,484792,"(34.0944595336914, -118.15975189209)","5533 Huntington Dr N, Los Angeles, CA 90032, USA"
62,64776,"(33.8046760559082, -117.9071273803711)","1745 S Anaheim Way, Anaheim, CA 92805, USA"
63,166633,"(33.832280137066505, -117.94543147087097)","1780 W Lincoln Ave, Anaheim, CA 92801, USA"
64,872224,"(33.966483, -118.164802)","7300 Eastern Ave, Bell Gardens, CA 90201, USA"
65,44148,"(33.95906448364258, -118.38526153564453)","8620 Airport Blvd, Los Angeles, CA 90045, USA"
66,248781,"(33.92313766479492, -118.35294342041016)","12029 Hawthorne Blvd, Hawthorne, CA 90250, USA"
67,147805,"(33.79462432861328, -118.33760833740234)","2888 Pacific Coast Hwy, Torrance, CA 90505, USA"
68,568868,"(34.1002, -118.325)","1610 Argyle Ave, Los Angeles, CA 90028, USA"
69,2453468,"(33.80317306518555, -117.92618560791016)","1140 W Katella Ave, Anaheim, CA 92802, USA"
70,6947374,"(34.143533075115705, -118.70268054418028)","26557 Agoura Rd, Calabasas, CA 91302, USA"
71,209930,"(34.1397705078125, -118.19917297363281)","1529 Colorado Blvd, Los Angeles, CA 90041, USA"
72,2462890,"(33.863294, -118.290664)","18405 Vermont Ave, Gardena, CA 90248, USA"
73,2462441,"(33.803537, -118.144213)","414 E Willow St, Long Beach, CA 90815, USA"
74,7485025,"(33.7598132, -118.1468427)","3946 E Ocean Blvd, Long Beach, CA 90803, USA"
75,6950042,"(33.7733306885, -117.9912185669)","8062 Garden Grove Blvd, Garden Grove, CA 92844, USA"
76,2463748,"(33.79034, -118.143707)","4201 E Pacific Coast Hwy, Long Beach, CA 90804, USA"
77,6484617,"(34.1026911, -118.33600000000001)","1738 N Las Palmas Ave, Los Angeles, CA 90028, USA"
78,1809196,"(33.82082748413086, -117.99263763427734)","800 S Beach Blvd, Anaheim, CA 92804, USA"
79,147287,"(34.07658386230469, -118.35747528076172)","315 N Spaulding Ave, Los Angeles, CA 90036, USA"
80,5912084,"(34.04536056518555, -118.32768249511719)","1512 Crenshaw Blvd, Los Angeles, CA 90019, USA"
81,285445,"(34.09815979003906, -118.32080078125)","6055 Sunset Blvd, Los Angeles, CA 90028, USA"
82,6727404,"(34.0531592, -118.2714828)","718 S Union Ave, Los Angeles, CA 90017, USA"
83,341467,"(34.06455612182617, -118.36537170410156)","6301 Orange St, Los Angeles, CA 90048, USA"
84,101441,"(34.17118453979492, -118.46642303466797)","5525 N Sepulveda Blvd, Sherman Oaks, CA 91411, USA"
85,208390,"(33.834712982177734, -118.30915832519531)","21320 CA-213, Torrance, CA 90501, USA"
86,2465132,"(33.78929138183594, -117.91519927978516)","100 Plaza Alicante, Garden Grove, CA 92840, USA"
87,2449766,"(33.877967, -118.016709)","1950 Firestone Blvd, La Mirada, CA 90638, USA"
88,2462637,"(34.07291, -118.250755)","1341 Sunset Blvd, Los Angeles, CA 90026, USA"
89,2453643,"(33.804336, -117.909934)","1775 S Clementine St, Anaheim, CA 92802, USA"
90,2463341,"(34.167099, -118.284096)","1377 W Glenoaks Blvd, Glendale, CA 91201, USA"
91,6281177,"(33.916045404620384, -118.29297866190183)","1030 W El Segundo Blvd, Gardena, CA 90247, USA"
92,433849,"(33.945313, -118.349955)","4252A W Century Blvd, Inglewood, CA 90304, USA"
93,1657,"(34.004066467285156, -118.1510009765625)","5757 Telegraph Rd, Commerce, CA 90040, USA"
94,501866,"(34.1462287902832, -118.1058578491211)","2155 E Colorado Blvd, Pasadena, CA 91107, USA"
95,4983734,"(33.92796775079986, -118.30973446369171)","1617 S Western Ave, Los Angeles, CA 90047, USA"
96,2457111,"(34.142537, -118.021959)","405 E Santa Clara St, Arcadia, CA 91006, USA"
97,75605,"(33.977413177490234, -118.36937713623047)","1730 Centinela Ave, Inglewood, CA 90302, USA"
98,4121662,"(33.8539002, -118.18474900000001)","5374 Atlantic Ave, Long Beach, CA 90805, USA"
99,6950626,"(34.0517082214, -118.28150177)","1031 S Lake St, Los Angeles, CA 90006, USA"
100,2454942,"(33.998253, -118.075462)","9515 Whittier Blvd, Pico Rivera, CA 90660, USA"
101,2186102,"(33.82080841064453, -117.91606140136719)","921 S Harbor Blvd, Anaheim, CA 92805, USA"
102,2460885,"(34.05482864379883, -118.25532531738281)","350 S Figueroa St, Los Angeles, CA 90071, USA"
103,782896,"(34.05513000488281, -118.30921173095703)","921 S Western Ave, Los Angeles, CA 90006, USA"
104,148069,"(34.2000732421875, -118.58850860595703)","7127 De Soto Ave, Canoga Park, CA 91303, USA"
105,147288,"(34.076568603515625, -118.35513305664062)","314 N Curson Ave, Los Angeles, CA 90036, USA"
106,2463818,"(33.980422, -118.394886)","6521 S Sepulveda Blvd, Los Angeles, CA 90045, USA"
107,46089,"(33.930572509765625, -118.40074157714844)","1440e E Imperial Ave, El Segundo, CA 90245, USA"
108,2108725,"(34.05204391479492, -118.29756164550781)","1020 Fedora St, Los Angeles, CA 90006, USA"
109,10191486,"(34.054154135598324, -118.26191957313995)","6th / Bixel, Los Angeles, CA 90017, USA"
110,253041,"(34.09914, -118.30896)","1536 N Western Ave, Los Angeles, CA 90027, USA"
111,93799,"(34.01922, -118.281249)","3540 S Figueroa St, Los Angeles, CA 90007, USA"
112,170120,"(34.13741683959961, -118.35848236083984)","100 Universal City Plaza, Universal City, CA 91608, USA"
113,94575,"(34.17942428588867, -118.30821228027344)","172198 E Angeleno Ave, Burbank, CA 91502, USA"
114,46439,"(34.07387161254883, -118.46826171875)","170 N Church Ln, Los Angeles, CA 90049, USA"
115,43945,"(33.799641, -117.91663360595703)","Clarion Hotel, Anaheim, CA 92802, USA"
116,2464283,"(33.853586, -117.838956)","1065 PacifiCenter Dr, Anaheim, CA 92806, USA"
117,106370,"(33.9620246887207, -118.360595703125)","321 W Manchester Blvd, Inglewood, CA 90301, USA"
118,1623639,"(34.10370297732405, -118.34146499633789)","1782 N Orange Dr, Los Angeles, CA 90028, USA"
119,9040525,"(34.09498977661133, -118.32402801513672)","6148 Afton Pl, Los Angeles, CA 90028, USA"
120,100331,"(33.87148666381836, -118.08165740966797)","17532 Pioneer Blvd, Artesia, CA 90701, USA"
121,1530035,"(33.796886, -117.914497)","2060 S Harbor Blvd, Anaheim, CA 92802, USA"
122,169838,"(34.13884735107422, -118.01834869384766)","898 Alta St, Monrovia, CA 91016, USA"
123,2456567,"(33.856965, -118.303334)","19100 Harborgate Way, Torrance, CA 90501, USA"
124,208718,"(34.05815505981445, -118.30824279785156)","745 S Oxford Ave, Los Angeles, CA 90005, USA"
125,45708,"(33.81910705566406, -117.92098999023438)","900 South Disneyland Dr, Anaheim, CA 92802, USA"
126,83809,"(33.835316, -118.385574)","435 CA-1, Redondo Beach, CA 90277, USA"
127,94412,"(34.05050277709961, -118.27816009521484)","1904w Olympic Blvd, Los Angeles, CA 90006, USA"
128,214830,"(33.91948318481445, -118.20919799804688)","11920 Long Beach Blvd, Lynwood, CA 90262, USA"
129,1565162,"(34.14556884765625, -118.41586303710938)","12963 Ventura Blvd, Studio City, CA 91604, USA"
130,80373,"(34.186134338378906, -118.59734344482422)","6360 Canoga Ave, Woodland Hills, CA 91367, USA"
131,7128627,"(33.903694, -118.06541400000003)","12500 Firestone Blvd, Norwalk, CA 90650, USA"
132,108432,"(33.99401092529297, -118.4796371459961)","405 Ocean Front Walk, Venice, CA 90291, USA"
133,248813,"(34.10356521606445, -118.33971405029297)","1770 Orchid Ave, Hollywood, CA 90028, USA"
134,2458528,"(34.025852, -118.456726)","3110 Pico Blvd, Santa Monica, CA 90405, USA"
135,1061101,"(34.06054853570617, -118.26658228167952)","1631 W 3rd St, Los Angeles, CA 90017, USA"
136,2458250,"(34.16822, -118.6011)","21706 Ventura Blvd, Woodland Hills, CA 91364, USA"
137,2532267,"(33.97439956665039, -118.12606048583984)","7272 E Gage Ave, Commerce, CA 90040, USA"
138,1656309,"(34.048179626464844, -118.23368072509766)","900 E 1st St, Los Angeles, CA 90012, USA"
139,6874736,"(34.09638977050781, -118.33920288085938)","6811 De Longpre Ave, Los Angeles, CA 90028, USA"
140,2459341,"(33.973465, -118.122757)","7810 Telegraph Rd, Commerce, CA 90040, USA"
141,169625,"(33.929799, -118.35107421875)","11500 Acacia Ave, Hawthorne, CA 90250, USA"
142,538406,"(34.104281, -118.34317)","7047 Franklin Ave, Los Angeles, CA 90028, USA"
143,2060021,"(34.08879852294922, -118.37877655029297)","8585 CA-2, West Hollywood, CA 90069, USA"
144,2448908,"(33.99359130859375, -118.47879028320312)","9 Paloma Ave, Venice, CA 90291, USA"
145,93823,"(34.05289840698242, -118.25650024414062)","404 S Figueroa St, Los Angeles, CA 90071, USA"
146,2178267,"(33.917002, -118.39105224609375)","101 Continental Blvd, El Segundo, CA 90245, USA"
147,203515,"(34.035085, -118.472209)","2815 W Historic Rte 66, Santa Monica, CA 90404, USA"
148,175101,"(34.1024780273438, -118.301750183105)","1722 Winona Blvd, Los Angeles, CA 90027, USA"
149,2452630,"(33.802921, -117.916207)","1803 S Harbor Blvd, Anaheim, CA 92802, USA"
150,209580,"(33.840084075927734, -118.38558197021484)","201 CA-1, Redondo Beach, CA 90277, USA"
151,929069,"(33.83121871948242, -118.38526153564453)","625 S Pacific Coast Hwy, Redondo Beach, CA 90277, USA"
152,148251,"(33.982358, -118.230179)","6340 S Santa Fe Ave, Huntington Park, CA 90255, USA"
153,79531,"(33.92340087890625, -118.38770294189453)","Mariposa, El Segundo, CA 90245, USA"
154,2532277,"(33.916080474853516, -118.37214660644531)","5250 W El Segundo Blvd, Hawthorne, CA 90250, USA"
155,184142,"(34.0626907348633, -118.304168701172)","635 S Harvard Blvd, Los Angeles, CA 90005, USA"
156,94939,"(33.96141815185547, -118.36770629882812)","640 W Manchester Blvd, Inglewood, CA 90301, USA"
157,97852,"(34.06745910644531, -118.4258804321289)","10300 Wilshire Blvd, Los Angeles, CA 90024, USA"
